track_id,genre_top,artist_name,iso_score,lof_score,iso_outlier,lof_outlier,is_outlier
2,Hip-Hop,AWOL,0.09152808726038636,-1.0659687793136983,0,0,0
5,Hip-Hop,AWOL,0.10454432762425447,-1.0210387642162093,0,0,0
10,Pop,Kurt Vile,0.08082655980279835,-1.1237383917159507,0,0,0
148,Experimental,Contradiction,0.06753712442505433,-1.3747092278096995,0,0,0
182,Rock,Ariel Pink's Haunted Graffiti,0.07536412981749652,-1.3276161058601799,0,0,0
190,Folk,Ed Askew,0.05095380915644121,-1.0570581062360977,0,0,0
193,Folk,Ed Askew,0.03376029653919549,-1.289027240250902,0,0,0
194,Folk,Ed Askew,0.07096240265391468,-1.0552809199900093,0,0,0
197,Folk,Ed Askew,0.05796343897348566,-1.1954083009392378,0,0,0
200,Folk,Ed Askew,0.06186668531236905,-1.1134203837789474,0,0,0
203,Folk,Ed Askew,0.03531174271260912,-1.2241936464618532,0,0,0
204,Folk,Ed Askew,0.0659495780888793,-1.0705866047810866,0,0,0
207,Folk,Ed Askew,0.008240605434298387,-1.1946661146269661,0,0,0
210,Folk,Ed Askew,0.06662063944787072,-1.0997213945647186,0,0,0
211,Folk,Ed Askew,0.05936039420723055,-1.0893990672061602,0,0,0
212,Folk,Ed Askew,0.10350855626408678,-1.0677789418029415,0,0,0
213,Pop,Au,0.034752346852146065,-1.3281668502234338,0,0,0
255,Rock,Bird Names,0.09180942225808852,-1.260335939238707,0,0,0
256,Rock,Black Elk,0.07379806251576487,-1.041927892899386,0,0,0
368,Rock,Blah Blah Blah,0.06251686766573283,-1.4087905927398494,0,0,0
459,Rock,CAVE,0.0667165261160928,-1.13700521138121,0,0,0
534,Folk,Charles Manson,0.06181370927131963,-1.2721393270418182,0,0,0
540,Folk,Charles Manson,0.06633807244318846,-1.1987401784754628,0,0,0
546,Folk,Charles Manson,0.07353882430797165,-1.1961499050840294,0,0,0
574,Rock,Clockcleaner,0.09232510824199908,-1.0140199528502334,0,0,0
602,Folk,Dora Bleu,0.007281416223836601,-1.30911642301685,0,0,0
615,Experimental,EKG,-0.06260276100674428,-5.837356394942718,1,1,1
620,Folk,Ed Askew,0.0702879104671204,-1.1424005139809306,0,0,0
621,Folk,Ed Askew,0.06503756473944566,-1.052696817762113,0,0,0
625,Folk,Ed Askew,0.057641206919038956,-1.1628361443270103,0,0,0
676,Hip-Hop,Fanatic,0.10148348260032725,-1.0489348623786132,0,0,0
690,Rock,Flying Luttenbachers,0.06662298658786509,-1.3571457531571312,0,0,0
694,Hip-Hop,Food For Animals,0.10192216027577694,-0.9847060167424806,0,0,0
695,Hip-Hop,Food For Animals,0.07769777730707955,-1.223926149579148,0,0,0
704,International,Fósforo,0.08747243964236312,-1.1246904821119257,0,0,0
705,International,Fósforo,0.09255791288124054,-1.0736220719697502,0,0,0
706,International,Fósforo,0.09380911234704498,-1.1196087847053595,0,0,0
707,International,Fósforo,0.06627432020662927,-1.2180873538917882,0,0,0
708,International,Fósforo,0.09063993914554713,-1.1847980464233807,0,0,0
709,International,Fósforo,0.0993549208186647,-1.033368976848177,0,0,0
714,Folk,Fursaxa,0.01949843196732609,-1.5266080622515565,0,0,0
715,Folk,Fursaxa,0.002480817875159247,-1.3334996205672371,0,0,0
716,Folk,Fursaxa,0.03589777834819874,-1.3304605555098923,0,0,0
718,Folk,Fursaxa,0.045143963863163494,-1.3834136721588035,0,0,0
777,Rock,Glove Compartment,0.09787095940549895,-1.0485530126069067,0,0,0
814,Folk,Hall Of Fame,0.05645804994321352,-1.1590887610326752,0,0,0
821,Pop,Hecuba,0.045709599537431145,-1.346413856679645,0,0,0
822,Pop,Hecuba,0.07826783259444131,-1.2089365717425165,0,0,0
825,Rock,Here Comes A Big Black Cloud!!,0.034952075584456066,-1.2816719279239108,0,0,0
853,International,Hutzl Ukranian Ensemble,0.04120745196741976,-1.2012838902372898,0,0,0
897,Experimental,Infinite Body,0.04271366471546706,-1.1480781908222393,0,0,0
1039,Rock,Lightning Bolt,0.06420952062968932,-1.0051009167003122,0,0,0
1040,Rock,Lightning Bolt,0.07804945286013915,-1.0512149229424788,0,0,0
1066,Experimental,Lucky Dragons,0.06119713541576016,-1.4365157637066672,0,0,0
1069,Experimental,Lucky Dragons,0.07828706266079932,-1.2453865202540642,0,0,0
1073,Experimental,Lucky Dragons,0.09997647443132751,-1.0375543190075889,0,0,0
1075,Experimental,Lucky Dragons,-0.001427112241097317,-2.0183928294004208,1,1,1
1082,International,M. Nguyen Van Minh-Con,-0.05046896488479774,-1.7709406416880444,1,1,1
1083,Experimental,Magic Lantern,0.04641082477376329,-1.2870068520752287,0,0,0
1087,Rock,Mahjongg,0.0850633222613415,-1.208565727738969,0,0,0
1102,Rock,Mary Halvorson and Weasel Walter,0.04345508423087596,-1.3249691683001648,0,0,0
1193,Folk,Mount Eerie,0.08989859041663667,-1.1517383961878234,0,0,0
1195,Folk,Mount Eerie,0.07140591725109469,-1.2265009650723993,0,0,0
1196,Folk,Mount Eerie,0.1032738244330006,-1.0446006278795483,0,0,0
1197,Folk,Mount Eerie,0.06548597395096512,-1.2371598018965613,0,0,0
1270,Rock,Necropolis,0.07289587167117645,-1.0276792557253172,0,0,0
1276,Experimental,Negativland,0.10672815018973897,-0.9887516509902132,0,0,0
1277,Experimental,Negativland,0.10056620882543577,-1.0076337530343262,0,0,0
1278,Experimental,Negativland,0.11110695406955085,-1.0540133871775281,0,0,0
1417,Rock,Pierced Arrows,0.1028343767471046,-1.0608165131681846,0,0,0
1443,Experimental,Pocahaunted,0.05119514008790155,-1.3442552615278767,0,0,0
1482,Electronic,Rainbro,0.04161662423213802,-1.3826354739762083,0,0,0
1510,Experimental,Ric Royer &amp; G. Lucas Crane,0.05564667084468666,-1.2521138838198367,0,0,0
1642,Pop,So Cow,0.10921889619597913,-0.9959515249282088,0,0,0
1644,Pop,So Cow,0.09458758498912961,-1.0337548471543876,0,0,0
